Toss,Facing,Distance,Diameter
Heads, Vertical, 1, 26.15
Heads, Vertical, 1, 26.15
Tails, Vertical, 1, 26.15
Tails, Vertical, 1, 26.15
Tails, Vertical, 1, 26.15
Tails, Vertical, 1, 26.15
Tails, Vertical, 1, 26.15
Heads, Vertical, 1, 26.15
Tails, Vertical, 1, 26.15
Tails, Vertical, 1, 26.15
Tails, Vertical, 1, 26.15
Tails, Vertical, 1, 26.15
Heads, Vertical, 1, 26.15
Heads, Vertical, 1, 20.5
Heads, Vertical, 1, 20.5
Tails, Vertical, 1, 20.5
Heads, Vertical, 1, 20.5
Tails, Vertical, 1, 20.5
Heads, Vertical, 1, 20.5
Heads, Vertical, 1, 20.5
Heads, Vertical, 1, 20.5
Tails, Vertical, 1, 20.5
Heads, Vertical, 1, 20.5
Tails, Vertical, 1, 20.5
Heads, Vertical, 1, 20.5
Heads, Vertical, 2, 26.15
Tails, Vertical, 2, 26.15
Heads, Vertical, 2, 26.15
Tails, Vertical, 2, 26.15
Heads, Vertical, 2, 26.15
Heads, Vertical, 2, 26.15
Heads, Vertical, 2, 26.15
Tails, Vertical, 2, 26.15
Heads, Vertical, 2, 26.15
Tails, Vertical, 2, 26.15
Tails, Vertical, 2, 26.15
Heads, Vertical, 2, 26.15
Tails, Vertical, 2, 26.15
Heads, Vertical, 2, 20.5
Tails, Vertical, 2, 20.5
Heads, Vertical, 2, 20.5
Heads, Vertical, 2, 20.5
Tails, Vertical, 2, 20.5
Tails, Vertical, 2, 20.5
Tails, Vertical, 2, 20.5
Heads, Vertical, 2, 20.5
Tails, Vertical, 2, 20.5
Tails, Vertical, 2, 20.5
Heads, Vertical, 2, 20.5
Heads, Vertical, 2, 20.5
Heads, Heads, 1, 26.15
Tails, Heads, 1, 26.15
Heads, Heads, 1, 26.15
Heads, Heads, 1, 26.15
Heads, Heads, 1, 26.15
Tails, Heads, 1, 26.15
Heads, Heads, 1, 26.15
Tails, Heads, 1, 26.15
Heads, Heads, 1, 26.15
Heads, Heads, 1, 26.15
Heads, Heads, 1, 26.15
Tails, Heads, 1, 26.15
Heads, Heads, 1, 26.15
Heads, Heads, 1, 20.5
Tails, Heads, 1, 20.5
Heads, Heads, 1, 20.5
Heads, Heads, 1, 20.5
Tails, Heads, 1, 20.5
Tails, Heads, 1, 20.5
Tails, Heads, 1, 20.5
Heads, Heads, 1, 20.5
Tails, Heads, 1, 20.5
Tails, Heads, 1, 20.5
Heads, Heads, 1, 20.5
Heads, Heads, 1, 20.5
Tails, Heads, 2, 26.15
Tails, Heads, 2, 26.15
Heads, Heads, 2, 26.15
Heads, Heads, 2, 26.15
Heads, Heads, 2, 26.15
Heads, Heads, 2, 26.15
Heads, Heads, 2, 26.15
Tails, Heads, 2, 26.15
Tails, Heads, 2, 26.15
Tails, Heads, 2, 26.15
Heads, Heads, 2, 26.15
Tails, Heads, 2, 26.15
Heads, Heads, 2, 26.15
Heads, Heads, 2, 20.5
Heads, Heads, 2, 20.5
Tails, Heads, 2, 20.5
Heads, Heads, 2, 20.5
Tails, Heads, 2, 20.5
Tails, Heads, 2, 20.5
Tails, Heads, 2, 20.5
Heads, Heads, 2, 20.5
Tails, Heads, 2, 20.5
Tails, Heads, 2, 20.5
Tails, Heads, 2, 20.5
Tails, Heads, 2, 20.5
Heads, Tails, 1, 26.15
Heads, Tails, 1, 26.15
Heads, Tails, 1, 26.15
Heads, Tails, 1, 26.15
Tails, Tails, 1, 26.15
Tails, Tails, 1, 26.15
Heads, Tails, 1, 26.15
Heads, Tails, 1, 26.15
Tails, Tails, 1, 26.15
Tails, Tails, 1, 26.15
Tails, Tails, 1, 26.15
Tails, Tails, 1, 26.15
Heads, Tails, 1, 26.15
Tails, Tails, 1, 20.5
Tails, Tails, 1, 20.5
Heads, Tails, 1, 20.5
Heads, Tails, 1, 20.5
Heads, Tails, 1, 20.5
Tails, Tails, 1, 20.5
Heads, Tails, 1, 20.5
Tails, Tails, 1, 20.5
Heads, Tails, 1, 20.5
Heads, Tails, 1, 20.5
Heads, Tails, 1, 20.5
Heads, Tails, 1, 20.5
Tails, Tails, 2, 26.15
Heads, Tails, 2, 26.15
Tails, Tails, 2, 26.15
Tails, Tails, 2, 26.15
Heads, Tails, 2, 26.15
Heads, Tails, 2, 26.15
Tails, Tails, 2, 26.15
Tails, Tails, 2, 26.15
Tails, Tails, 2, 26.15
Heads, Tails, 2, 26.15
Heads, Tails, 2, 26.15
Tails, Tails, 2, 26.15
Tails, Tails, 2, 26.15
Tails, Tails, 2, 20.5
Heads, Tails, 2, 20.5
Tails, Tails, 2, 20.5
Heads, Tails, 2, 20.5
Tails, Tails, 2, 20.5
Heads, Tails, 2, 20.5
Tails, Tails, 2, 20.5
Heads, Tails, 2, 20.5
Tails, Tails, 2, 20.5
Tails, Tails, 2, 20.5
Tails, Tails, 2, 20.5
Heads, Tails, 2, 20.5
